id,user_id,created_at,platform
0,225,11/25/2015 20:06,Web
1,175,8/8/2015 12:39,iOS
2,453,11/11/2015 5:44,Web
3,438,10/27/2015 7:26,Android
4,413,11/12/2015 19:47,iOS
5,424,11/10/2015 23:23,Android
6,55,9/13/2015 14:49,iOS
7,285,8/31/2015 18:32,Web
8,28,8/16/2015 0:34,iOS
9,22,8/11/2015 23:53,iOS
10,347,11/11/2015 21:12,Web
11,104,9/29/2015 6:25,Web
12,298,11/19/2015 0:20,Web
13,299,8/18/2015 1:41,Android
14,445,9/27/2015 23:29,Web
15,467,8/6/2015 18:35,iOS
16,161,8/19/2015 23:53,Android
17,495,10/2/2015 10:36,iOS
18,201,10/16/2015 6:53,Android
19,103,8/28/2015 6:06,iOS
20,65,9/28/2015 2:43,Web
21,303,10/15/2015 17:57,Android
22,381,11/9/2015 14:51,Web
23,256,11/22/2015 20:24,Web
24,36,8/29/2015 20:02,Web
25,190,8/7/2015 22:09,iOS
26,475,9/27/2015 7:21,Android
27,234,9/26/2015 5:15,Android
28,347,9/25/2015 23:17,iOS
29,293,10/19/2015 14:57,Web
30,347,9/3/2015 19:18,Web
31,378,10/3/2015 17:40,iOS
32,219,10/29/2015 3:57,Android
33,418,8/10/2015 23:22,iOS
34,61,10/28/2015 13:43,iOS
35,464,8/23/2015 14:07,iOS
36,27,9/19/2015 17:08,Android
37,377,11/2/2015 15:11,Web
38,0,9/27/2015 0:24,Android
39,68,9/5/2015 23:57,Android
40,297,10/4/2015 1:17,iOS
41,413,9/10/2015 7:54,Android
42,58,11/7/2015 6:38,Android
43,40,10/9/2015 1:20,iOS
44,491,11/12/2015 13:53,Web
45,468,9/30/2015 22:13,Web
46,486,11/19/2015 2:44,Web
47,127,9/23/2015 16:52,Web
48,310,10/16/2015 14:32,Web
49,174,8/29/2015 17:05,Android
50,421,9/13/2015 15:44,iOS
51,154,10/6/2015 11:34,Android
52,47,8/8/2015 19:18,Web
53,128,8/4/2015 17:30,iOS
54,173,8/22/2015 17:46,Web
55,310,9/5/2015 11:38,Android
56,45,8/10/2015 8:54,Android
57,366,8/26/2015 5:14,iOS
58,406,9/28/2015 15:41,iOS
59,376,8/5/2015 23:21,iOS
60,167,10/9/2015 4:26,Web
61,451,8/22/2015 14:31,iOS
62,51,11/5/2015 18:11,iOS
63,489,9/12/2015 13:54,Android
64,133,11/22/2015 1:46,iOS
65,418,10/18/2015 21:05,Web
66,246,10/21/2015 11:32,Web
67,118,9/29/2015 18:28,iOS
68,18,10/25/2015 7:33,iOS
69,160,9/8/2015 1:38,iOS
70,65,8/21/2015 4:58,Web
71,328,9/21/2015 17:10,Web
72,12,8/26/2015 23:26,iOS
73,15,9/25/2015 21:41,Web
74,337,8/27/2015 15:19,iOS
75,149,11/22/2015 3:23,Web
